source_Id,toDo_20251016,wikidata_uri,mapping_provenance,possible_mapping_to_check_again,source_prefLabel,source_definition,source_isocat_id,source_is_used_concept,source_is_facet_VLO_xml,source_seems_to_be_property,source_extractedSourceFromDefinition,source_changeNote,source_instance_of,source_notation,http://www.w3.org/2004/02/skos/core#altLabel,http://openskos.org/xmlns#status,http://www.w3.org/2004/02/skos/core#inScheme,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#topConceptOf,http://www.w3.org/2004/02/skos/core#changeNote,http://www.w3.org/2004/02/skos/core#notation,http://openskos.org/xmlns#inSkosCollection,http://www.w3.org/2004/02/skos/core#definition,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/2004/02/skos/core#example,http://www.w3.org/2004/02/skos/core#scopeNote,http://www.w3.org/2004/02/skos/core#note,http://www.w3.org/2004/02/skos/core#hasTopConcept,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2004/02/skos/core#member,http://www.w3.org/2004/02/skos/core#hiddenLabel,http://purl.org/dc/terms/modified,http://purl.org/dc/terms/dateSubmitted,http://purl.org/dc/terms/creator
http://hdl.handle.net/11459/CCR_C-1978_088a96da-46c0-cfc9-eb0d-2a3bc20caa55,investigate why there is no mapping,,,,value,Generic name for a value.,1978,y,null,null,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1978,0,valueGeneric,value,candidate,"http://hdl.handle.net/11459/CCR_P-Metadata_6f3f84d1-6f06-6291-4e20-4cd361cca128 , http://hdl.handle.net/11459/CCR_P-LanguageResourceOntology_05399e1d-4f23-8fc1-5088-eb5afbf0cd91 , http://hdl.handle.net/11459/CCR_P-Translation_e7ebeaa2-68f1-34c8-6301-249173bf6ccf , http://hdl.handle.net/11459/CCR_P-SemanticContentRepresentation_1448f330-771b-ad11-987f-7293629f0801 , http://hdl.handle.net/11459/CCR_P-LexicalResources_ce3edd5c-07a7-b345-dcfa-789a9b4bc980 , http://hdl.handle.net/11459/CCR_P-SignLanguage_8f51ce1b-211d-9682-a8e7-aeb0f2a79e03 , http://hdl.handle.net/11459/CCR_P-Syntax_e7dbb854-a006-9939-4863-1236a4062a1b , http://hdl.handle.net/11459/CCR_P-LexicalSemantics_2906bf39-6db8-90ed-da57-c7a3cc03c9c9 , http://hdl.handle.net/11459/CCR_P-MultilingualInformationManagement_ae12d298-6867-1428-839c-5a624aeaad94 , http://hdl.handle.net/11459/CCR_P-Terminology_5b77056e-4634-1b16-a143-3697c33c17a7 , http://hdl.handle.net/11459/CCR_P-LanguageCodes_a122c1a3-1912-fecd-07a2-8685522dfeca , http://hdl.handle.net/11459/CCR_P-Morphosyntax_f701a84e-9171-1e2d-22cf-6528c2571d42 , http://hdl.handle.net/11459/CCR_P-Lexicography_630911fa-0687-1e55-c846-37ebe24f3182",http://www.w3.org/2004/02/skos/core#Concept,"http://hdl.handle.net/11459/CCR_P-Lexicography_630911fa-0687-1e55-c846-37ebe24f3182 , http://hdl.handle.net/11459/CCR_P-LanguageCodes_a122c1a3-1912-fecd-07a2-8685522dfeca , http://hdl.handle.net/11459/CCR_P-SemanticContentRepresentation_1448f330-771b-ad11-987f-7293629f0801 , http://hdl.handle.net/11459/CCR_P-SignLanguage_8f51ce1b-211d-9682-a8e7-aeb0f2a79e03 , http://hdl.handle.net/11459/CCR_P-Translation_e7ebeaa2-68f1-34c8-6301-249173bf6ccf , http://hdl.handle.net/11459/CCR_P-Morphosyntax_f701a84e-9171-1e2d-22cf-6528c2571d42 , http://hdl.handle.net/11459/CCR_P-Syntax_e7dbb854-a006-9939-4863-1236a4062a1b , http://hdl.handle.net/11459/CCR_P-LexicalResources_ce3edd5c-07a7-b345-dcfa-789a9b4bc980 , http://hdl.handle.net/11459/CCR_P-LanguageResourceOntology_05399e1d-4f23-8fc1-5088-eb5afbf0cd91 , http://hdl.handle.net/11459/CCR_P-MultilingualInformationManagement_ae12d298-6867-1428-839c-5a624aeaad94 , http://hdl.handle.net/11459/CCR_P-LexicalSemantics_2906bf39-6db8-90ed-da57-c7a3cc03c9c9 , http://hdl.handle.net/11459/CCR_P-Terminology_5b77056e-4634-1b16-a143-3697c33c17a7 , http://hdl.handle.net/11459/CCR_P-Metadata_6f3f84d1-6f06-6291-4e20-4cd361cca128",This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1978,valueGeneric,null,Generic name for a value.@en,value@en,null,null,null,null,null,null,null,null,null,null
http://hdl.handle.net/11459/CCR_C-2176_64e8b973-fe80-1241-e27f-1db7e7aa5514,investigate why there is no mapping,,,,orthography name,Precision concerning the orthography,2176,y,null,null,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-2176,0,orthographyName,orthographyName,candidate,http://hdl.handle.net/11459/CCR_P-Morphosyntax_f701a84e-9171-1e2d-22cf-6528c2571d42,http://www.w3.org/2004/02/skos/core#Concept,http://hdl.handle.net/11459/CCR_P-Morphosyntax_f701a84e-9171-1e2d-22cf-6528c2571d42,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-2176,orthographyName,http://hdl.handle.net/11459/CCR__07f76247-a52e-2a10-2331-f103c1e41f5a,Precision concerning the orthography@en,orthography name@en,null,null,null,null,null,null,null,null,null,null
http://hdl.handle.net/11459/CCR_C-2323_8d0f6479-425f-e9bd-8548-61a6bb18c9f4,"check if the column ""possible_mapping_to_check_again"" contains a good mapping, if so, paste it to the ""wikidata_uri"" column and add in the column ""mapping_provenance"" -> ""manually-found""",,,http://www.wikidata.org/entity/Q1191527,dependency,"mechanism allowing the linking of words, phrases, and clauses",2323,y,null,null,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-2323,0,dependency,dependency,candidate,http://hdl.handle.net/11459/CCR_P-Syntax_e7dbb854-a006-9939-4863-1236a4062a1b,http://www.w3.org/2004/02/skos/core#Concept,http://hdl.handle.net/11459/CCR_P-Syntax_e7dbb854-a006-9939-4863-1236a4062a1b,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-2323,dependency,null,"mechanism allowing the linking of words, phrases, and clauses@en",dependency@en,null,null,null,null,null,null,null,null,null,null
http://hdl.handle.net/11459/CCR_C-2325_7a0123dd-9334-d847-9d55-320fc8f8bcb4,investigate why there is no mapping,,,,annotation style,style of annotation,2325,y,null,null,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-2325,0,annotationStyle,annotationStyle,candidate,http://hdl.handle.net/11459/CCR_P-Syntax_e7dbb854-a006-9939-4863-1236a4062a1b,http://www.w3.org/2004/02/skos/core#Concept,http://hdl.handle.net/11459/CCR_P-Syntax_e7dbb854-a006-9939-4863-1236a4062a1b,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-2325,annotationStyle,null,style of annotation@en,annotation style@en,null,null,null,null,null,null,null,null,null,null
http://hdl.handle.net/11459/CCR_C-2326_7072b06b-9b76-55a2-a85a-1891c4d48b91,investigate why there is no mapping,,,,standoff notation,annotation that is recorded aside from the grammatical units and that refers externally to these units,2326,y,null,null,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-2326,0,standoffNotation,standoffNotation,candidate,http://hdl.handle.net/11459/CCR_P-Syntax_e7dbb854-a006-9939-4863-1236a4062a1b,http://www.w3.org/2004/02/skos/core#Concept,http://hdl.handle.net/11459/CCR_P-Syntax_e7dbb854-a006-9939-4863-1236a4062a1b,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-2326,standoffNotation,null,annotation that is recorded aside from the grammatical units and that refers externally to these units@en,standoff notation@en,null,null,null,null,null,null,null,null,null,null
http://hdl.handle.net/11459/CCR_C-2327_e543816a-da23-34a7-766b-33a7ecb496b2,investigate why there is no mapping,,,,embedded notation,annotation that is added in the text,2327,y,null,null,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-2327,0,embeddedNotation,embeddedNotation,candidate,http://hdl.handle.net/11459/CCR_P-Syntax_e7dbb854-a006-9939-4863-1236a4062a1b,http://www.w3.org/2004/02/skos/core#Concept,http://hdl.handle.net/11459/CCR_P-Syntax_e7dbb854-a006-9939-4863-1236a4062a1b,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-2327,embeddedNotation,null,annotation that is added in the text@en,embedded notation@en,null,null,null,null,null,null,null,null,null,null
http://hdl.handle.net/11459/CCR_C-2453_1f0c3ea5-7966-ae11-d3c6-448424d4e6e8,investigate why there is no mapping,,,,availability,A description of the terms of availability of the resource in simple words. (source: CLARIN),2453,y,availability,y,CLARIN,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-2453,0,availability,availability,approved,http://hdl.handle.net/11459/CCR_P-Metadata_6f3f84d1-6f06-6291-4e20-4cd361cca128,http://www.w3.org/2004/02/skos/core#Concept,http://hdl.handle.net/11459/CCR_P-Metadata_6f3f84d1-6f06-6291-4e20-4cd361cca128,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-2453,availability,"http://hdl.handle.net/11459/CCR__750d203b-ba0e-2d28-36e4-7bed4d9ef60b , http://hdl.handle.net/11459/CCR__a64b45fb-7cc3-fe74-a4f5-7e370177bd9e",A description of the terms of availability of the resource in simple words. (source: CLARIN)@en,availability@en,free; free for academic use; restricted use; request required; user licence required; registration required; unknown (source: CLARIN)@en,null,null,null,null,null,null,null,null,null
http://hdl.handle.net/11459/CCR_C-2454_e0e88868-2fc6-a87e-cd0d-d8f69c85b41d,investigate why there is no mapping,,,,contact full name,The name of the person that can be contacted to get access to the resource or to the tool/service. (source: CLARIN),2454,y,null,y,CLARIN,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-2454,0,contactFullName,contactFullName,approved,http://hdl.handle.net/11459/CCR_P-Metadata_6f3f84d1-6f06-6291-4e20-4cd361cca128,http://www.w3.org/2004/02/skos/core#Concept,http://hdl.handle.net/11459/CCR_P-Metadata_6f3f84d1-6f06-6291-4e20-4cd361cca128,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-2454,contactFullName,http://hdl.handle.net/11459/CCR__a64b45fb-7cc3-fe74-a4f5-7e370177bd9e,The name of the person that can be contacted to get access to the resource or to the tool/service. (source: CLARIN)@en,contact full name@en,Hans Maier; John Smith; Takayuki Arai; unknown (source: CLARIN)@en,null,null,null,null,null,null,null,null,null
http://hdl.handle.net/11459/CCR_C-2460_ac4dfb89-b5e1-d255-9327-58e771ee4065,"check if the column ""possible_mapping_to_check_again"" contains a good mapping, if so, paste it to the ""wikidata_uri"" column and add in the column ""mapping_provenance"" -> ""manually-found""",,,http://www.wikidata.org/entity/Q160151|https://www.wikidata.org/wiki/Property:P2284,price,"The costs that are required to access the resource, a fragment of the resource or to use the tool/service. (source: CLARIN)",2460,y,null,y,CLARIN,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-2460,0,price,price,approved,http://hdl.handle.net/11459/CCR_P-Metadata_6f3f84d1-6f06-6291-4e20-4cd361cca128,http://www.w3.org/2004/02/skos/core#Concept,http://hdl.handle.net/11459/CCR_P-Metadata_6f3f84d1-6f06-6291-4e20-4cd361cca128,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-2460,price,http://hdl.handle.net/11459/CCR__a64b45fb-7cc3-fe74-a4f5-7e370177bd9e,"The costs that are required to access the resource, a fragment of the resource or to use the tool/service. (source: CLARIN)@en",price@en,$ 400 per month with unrestricted usage (source: CLARIN)@en / $ 400 per copy (source: CLARIN)@en / $ 400 per work place (source: CLARIN)@en / $ 400 per 10000 processed units (source: CLARIN)@en,null,null,null,null,null,null,null,null,null
http://hdl.handle.net/11459/CCR_C-2461_76a92748-423e-46a0-cc7c-84a7d1c46794,"check if the column ""possible_mapping_to_check_again"" contains a good mapping, if so, paste it to the ""wikidata_uri"" column and add in the column ""mapping_provenance"" -> ""manually-found""",,,http://www.wikidata.org/entity/Q214995|https://www.wikidata.org/wiki/Property:P1329,telephone number,"The telephone number of a person or an organization that is involved in creating, managing or accessing the resource. (source: CLARIN)",2461,y,null,y,CLARIN,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-2461,0,telephoneNumber,telephoneNumber,approved,http://hdl.handle.net/11459/CCR_P-Metadata_6f3f84d1-6f06-6291-4e20-4cd361cca128,http://www.w3.org/2004/02/skos/core#Concept,http://hdl.handle.net/11459/CCR_P-Metadata_6f3f84d1-6f06-6291-4e20-4cd361cca128,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-2461,telephoneNumber,"http://hdl.handle.net/11459/CCR__a64b45fb-7cc3-fe74-a4f5-7e370177bd9e , http://hdl.handle.net/11459/CCR__750d203b-ba0e-2d28-36e4-7bed4d9ef60b","The telephone number of a person or an organization that is involved in creating, managing or accessing the resource. (source: CLARIN)@en",telephone number@en,null,null,null,null,null,null,null,null,null,null
