source_Id,mapping_provenance,wikidata_uri,source_prefLabel,source_definition,source_isocat_id,source_is_used_concept,source_is_facet_VLO_xml,source_changeNote,source_instance_of,source_notation
http://hdl.handle.net/11459/CCR_C-1270_bfb2e942-c2a8-1035-cde9-b8ada8c9aa70,isocatId-matches,http://www.wikidata.org/entity/Q34793275,demonstrative pronoun,Pronoun used to point to an entity in the situation or elsewhere in a sentence. (source: Crystal 2003),1270,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1270,0,demonstrativePronoun
http://hdl.handle.net/11459/CCR_C-1272_64aed825-9c74-aafb-f47d-bf883170be66,isocatId-matches,http://www.wikidata.org/entity/Q576271,determiner,"Word or affix that belongs to a class of noun modifiers that expresses the reference, including quantity, of a noun. (source: www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsADeterminer.htm)",1272,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1272,0,determinerBroad
http://hdl.handle.net/11459/CCR_C-1274_2d458147-53dc-9010-d77b-3a3d6a0aeb49,isocatId-matches,http://www.wikidata.org/entity/Q2990574,direct object,"A noun, pronoun, or noun phrase whose referent receives the direct action of a verb. (source: www.wordreference.com/English/definition.asp?en=direct+object)",1274,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1274,0,directObject
http://hdl.handle.net/11459/CCR_C-1286_6bf93a88-ee71-1487-5de5-d7ca9c1f4397,isocatId-matches,http://www.wikidata.org/entity/Q177691,tense,Property referring to the way the grammar marks the time at which the action denoted by the verb took place. (source: Crystal 2003),1286,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1286,0,grammaticalTense
http://hdl.handle.net/11459/CCR_C-1288_61cc5804-ed04-b31a-d550-7fe84a188345,isocatId-matches,http://www.wikidata.org/entity/Q21714344,first person,"First person deixis is deictic reference that refers to the speaker, or both the speaker and referents grouped with the speaker (source: www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsFirstPersonDeixis.htm)",1288,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1288,0,firstPersonDeixis
http://hdl.handle.net/11459/CCR_C-1291_c2896356-8d7e-e425-d2ac-5741e93db4e2,isocatId-matches,http://www.wikidata.org/entity/Q501405,future,Verb tense that indicates action or state of being in the future. (source: www.southwestern.edu/~carlg/Latin_Web/glossary.html),1291,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1291,0,future
http://hdl.handle.net/11459/CCR_C-1293_5ce1a413-afaf-1ae5-f818-a416f219fc41,isocatId-matches,http://www.wikidata.org/entity/Q146233,genitive case,Case used to express a possessive relationship (e.g. the boy's book) or some other similarly close connection (e.g. a summer's day). (source: Crystal 2003),1293,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1293,0,genitivecase
http://hdl.handle.net/11459/CCR_C-1297_2edcca9f-049d-98c4-e9aa-9c1195fecc77,isocatId-matches,http://www.wikidata.org/entity/Q162378,grammatical gender,Category based on (depending on languages) the natural distinction between sex and formal criteria. (source: GP),1297,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1297,0,grammaticalGender
http://hdl.handle.net/11459/CCR_C-1298_32b14281-8df1-69bb-3e85-eb1cc4058cb4,isocatId-matches,http://www.wikidata.org/entity/Q104083,grammatical number,"Grammatical category for the variation in form of nouns, pronouns, and any words agreeing with them, depending on how many persons or things are referred to. (source: www.wordreference.com/English/definition.asp?en=number 12)",1298,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1298,0,grammaticalNumber
http://hdl.handle.net/11459/CCR_C-1305_7066f625-844d-7091-167c-1770bb560b7e,isocatId-matches,http://www.wikidata.org/entity/Q371427,imperfective,"Imperfective aspect is an aspect that expresses an event or state, with respect to its internal structure, instead of expressing it as a simple whole. (source: www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsImperfectiveAspect.htm)",1305,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1305,0,imperfective
http://hdl.handle.net/11459/CCR_C-1307_0db75c10-25a7-12d9-4aa7-aafee52fd7b8,isocatId-matches,http://www.wikidata.org/entity/Q28503230,indefinite determiner,Determiner not capable of identification. (source: Gil Francopoulo),1307,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1307,0,indefiniteDeterminer
http://hdl.handle.net/11459/CCR_C-1309_073ee50d-41c5-30de-2dbe-b87517a006a1,isocatId-matches,http://www.wikidata.org/entity/Q956030,indefinite pronoun,Pronoun that does not allow reference. (source: Gil Francopoulo),1309,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1309,0,indefinitePronoun
http://hdl.handle.net/11459/CCR_C-1310_ab441fcb-3588-e2c8-14ed-45e22106df1f,isocatId-matches,http://www.wikidata.org/entity/Q1094061,indirect object,"A noun, pronoun, or noun phrase indicating the recipient or beneficiary of the action of a verb and its direct object. (source: www.wordreference.com/English/definition.asp?en=indirect%20object)",1310,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1310,0,indirectObject
http://hdl.handle.net/11459/CCR_C-1312_419ab38d-0f51-859a-08d8-7469c0002680,isocatId-matches,http://www.wikidata.org/entity/Q179230,infinitive,Mood cited as unmarked or base form. (source: Crystal 2003),1312,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1312,0,infinitiveMood
http://hdl.handle.net/11459/CCR_C-1318_1c99baf2-cc47-d583-9b70-7ff8496d3f61,isocatId-matches,http://www.wikidata.org/entity/Q83034,interjection,Word or sound that expresses an emotion. (source: www.southwestern.edu/~carlg/Latin_Web/glossary.html),1318,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1318,0,interjectionEmotion
http://hdl.handle.net/11459/CCR_C-1321_35cb0c2b-aa78-024b-9e6b-ae2a94cb191c,isocatId-matches,http://www.wikidata.org/entity/Q54310231,interrogative pronoun,Pronoun used to express a question. (source: MAF),1321,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1321,0,interrogativePronoun
http://hdl.handle.net/11459/CCR_C-1322_2502c383-62c6-8957-e0a3-add93ff13f2b,isocatId-matches,http://www.wikidata.org/entity/Q116946937,intransitive,"Refers to a verb that does not take a direct object; that is, to a verb that does not express an action which directly affects another person or thing. (source: www.southwestern.edu/~carlg/Latin_Web/glossary.html)",1322,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1322,0,intransitive
http://hdl.handle.net/11459/CCR_C-1324_9a9319f6-fe01-49a4-8ffa-8f105530e2eb,isocatId-matches,http://www.wikidata.org/entity/Q18514,lemma,Base form a word or term that is used as the formal entry in a dictionary. (source: ISO12620A-020803 Sue Ellen Wright + Francopoulo),1324,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1324,0,lemmaBaseForm
http://hdl.handle.net/11459/CCR_C-1325_8e9b6e6e-492c-c331-0e64-9c2f49af3f9d,isocatId-matches,http://www.wikidata.org/entity/Q111352,lexeme,Minimal unit of language which : has a semantic interpretation and embodies a distinct cultural concept. (source: www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsALexeme.htm),1325,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1325,0,lexemeMinimalUnit
http://hdl.handle.net/11459/CCR_C-1328_8ac68842-1416-d6c3-0ae2-d3465b01a130,isocatId-matches,http://www.wikidata.org/entity/Q690940,person,"Indication of grammatical person (1st, 2nd, 3rd, etc.) associated with a given inflected form. (source: ISO12620)",1328,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1328,0,personGrammaticalInflection
http://hdl.handle.net/11459/CCR_C-1329_fb34a024-dc10-fe2f-1dfa-8436a85df17b,isocatId-matches,http://www.wikidata.org/entity/Q560570,modal,"Verb form that is usually used with another verb to express ideas such as possibilities, permission, or intention. (source: Gil Francopoulo)",1329,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1329,0,modalVerb
http://hdl.handle.net/11459/CCR_C-1331_89e7297d-85b0-5391-ea92-92347358719d,isocatId-matches,http://www.wikidata.org/entity/Q131105,nominative case,Case used to indicate the subject of a verb. (source: www.southwestern.edu/~carlg/Latin_Web/glossary.html),1331,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1331,0,nominativeCaseShort
http://hdl.handle.net/11459/CCR_C-1333_900f8984-089d-7603-3a85-76e5764df2d5,isocatId-matches,http://www.wikidata.org/entity/Q1084,noun,"Part of speech assigned to words that designate a person, place, action, property or thing etc. that may have morphosyntactic properties like number or case and syntactic combination like modification by an adjective or determination by a determiner (source: adapted from ISO 12620 with Jan Odijk's comments)",1333,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1333,0,nounGeneral
http://hdl.handle.net/11459/CCR_C-1334_3ef89474-3670-161f-6212-beb82406bb75,isocatId-matches,http://www.wikidata.org/entity/Q63116,numeral,Part of speech that expresses a number or the relation to a number. (source: GF),1334,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1334,0,numeral
http://hdl.handle.net/11459/CCR_C-1341_efb73480-8227-6ea9-be78-ab5fd42b25fd,isocatId-matches,http://www.wikidata.org/entity/Q814722,participle,"Non-finite form of a verb other than the infinitive that is used in many languages possibly in conjunction with an auxiliary and that functions attributively, predicatively or adverbially. (source: Franca Wesseling and Karlheinz Moerth)",1341,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1341,0,participleVerb
http://hdl.handle.net/11459/CCR_C-1342_729d7fdf-0420-8a97-95c7-65ed91829c45,isocatId-matches,http://www.wikidata.org/entity/Q184943,particle,"Word that does not belong to one of the main classes of words, is invariable in form, and typically has grammatical or pragmatic meaning. (source: www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsAParticle.htm)",1342,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1342,0,particleFormFunction
http://hdl.handle.net/11459/CCR_C-1345_1ef990c7-38f2-f766-01db-f42b3027dd39,isocatId-matches,http://www.wikidata.org/entity/Q82042,part of speech,Term used to describe how a particular word is used in a sentence. (source: http://web.archive.org/web/20110720045333/http://people.southwestern.edu/~carlg/Latin_Web/glossary.html),1345,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1345,0,partOfSpeechUse
