oldUri,newUri
http://hdl.handle.net/11459/CCR_C-1318_1c99baf2-cc47-d583-9b70-7ff8496d3f61,http://www.wikidata.org/entity/Q83034
http://hdl.handle.net/11459/CCR_C-1321_35cb0c2b-aa78-024b-9e6b-ae2a94cb191c,http://www.wikidata.org/entity/Q54310231
http://hdl.handle.net/11459/CCR_C-1322_2502c383-62c6-8957-e0a3-add93ff13f2b,http://www.wikidata.org/entity/Q116946937
http://hdl.handle.net/11459/CCR_C-1324_9a9319f6-fe01-49a4-8ffa-8f105530e2eb,http://www.wikidata.org/entity/Q18514
http://hdl.handle.net/11459/CCR_C-1325_8e9b6e6e-492c-c331-0e64-9c2f49af3f9d,http://www.wikidata.org/entity/Q111352
http://hdl.handle.net/11459/CCR_C-1328_8ac68842-1416-d6c3-0ae2-d3465b01a130,http://www.wikidata.org/entity/Q690940
http://hdl.handle.net/11459/CCR_C-1329_fb34a024-dc10-fe2f-1dfa-8436a85df17b,http://www.wikidata.org/entity/Q560570
http://hdl.handle.net/11459/CCR_C-1331_89e7297d-85b0-5391-ea92-92347358719d,http://www.wikidata.org/entity/Q131105
http://hdl.handle.net/11459/CCR_C-1333_900f8984-089d-7603-3a85-76e5764df2d5,http://www.wikidata.org/entity/Q1084
http://hdl.handle.net/11459/CCR_C-1334_3ef89474-3670-161f-6212-beb82406bb75,http://www.wikidata.org/entity/Q63116
http://hdl.handle.net/11459/CCR_C-1341_efb73480-8227-6ea9-be78-ab5fd42b25fd,http://www.wikidata.org/entity/Q814722
http://hdl.handle.net/11459/CCR_C-1342_729d7fdf-0420-8a97-95c7-65ed91829c45,http://www.wikidata.org/entity/Q184943
http://hdl.handle.net/11459/CCR_C-1345_1ef990c7-38f2-f766-01db-f42b3027dd39,http://www.wikidata.org/entity/Q82042
http://hdl.handle.net/11459/CCR_C-1346_df16a4aa-5586-3cd9-b0e8-e4ad8a8327c5,http://www.wikidata.org/entity/Q1194697
http://hdl.handle.net/11459/CCR_C-1347_b5581b6b-deee-dc41-9636-64817d88d15a,http://www.wikidata.org/entity/Q192630
http://hdl.handle.net/11459/CCR_C-1352_2664f3ef-8d98-764f-9ec5-d582ed04d312,http://www.wikidata.org/entity/Q1424306
http://hdl.handle.net/11459/CCR_C-1354_f25bdcae-3309-a08a-330d-97f5b4753927,http://www.wikidata.org/entity/Q146786
http://hdl.handle.net/11459/CCR_C-1357_476c7b39-9f50-bf54-0412-59f34d87a144,http://www.wikidata.org/entity/Q5051
http://hdl.handle.net/11459/CCR_C-1359_41a180fd-f9a4-25e3-25c1-69c1225c31c8,http://www.wikidata.org/entity/Q1502460
http://hdl.handle.net/11459/CCR_C-1360_dc07e05a-b7bf-7e3e-360b-3d1e2a5c1c7f,http://www.wikidata.org/entity/Q161873
http://hdl.handle.net/11459/CCR_C-1366_0f19c480-07d0-a3e5-41ad-2a3992f7cf6a,http://www.wikidata.org/entity/Q4833830
http://hdl.handle.net/11459/CCR_C-1370_e2de8052-9016-a6a0-781d-bd4a2b79cfaf,http://www.wikidata.org/entity/Q36224
http://hdl.handle.net/11459/CCR_C-1371_fbebd9ec-a7f4-9a36-d6e9-88ee16b944ae,http://www.wikidata.org/entity/Q147276
http://hdl.handle.net/11459/CCR_C-1380_e55f8cdf-1792-eb7a-6792-4e6c9b3c176a,http://www.wikidata.org/entity/Q1050744
http://hdl.handle.net/11459/CCR_C-1384_a6aa56c1-3f5d-901f-cbbb-ecc8fdce9d69,http://www.wikidata.org/entity/Q51929049
http://hdl.handle.net/11459/CCR_C-1386_676aa48a-8457-4fac-f34c-ce3518952b53,http://www.wikidata.org/entity/Q37124094
http://hdl.handle.net/11459/CCR_C-1387_2f8f602b-dd99-d51f-2ffe-754515e36d7e,http://www.wikidata.org/entity/Q110786
http://hdl.handle.net/11459/CCR_C-1393_9905e94f-5624-ed01-139f-fc3ffac7a923,http://www.wikidata.org/entity/Q11655558
http://hdl.handle.net/11459/CCR_C-1400_cbba48ca-cc45-638e-35aa-40d9be4b37f2,http://www.wikidata.org/entity/Q1340504
http://hdl.handle.net/11459/CCR_C-1402_fd8749a9-cd4a-530e-760e-17944acfd054,http://www.wikidata.org/entity/Q51929074
http://hdl.handle.net/11459/CCR_C-1405_cebacec3-e397-6cdf-77ee-42aef4f06a21,http://www.wikidata.org/entity/Q116946936
http://hdl.handle.net/11459/CCR_C-1413_09afea63-a8fe-26ee-0b3c-7405763baba4,http://www.wikidata.org/entity/Q211101
http://hdl.handle.net/11459/CCR_C-1419_b7bac8b0-b195-b01b-c8a8-2ce44103c607,http://www.wikidata.org/entity/Q123964806
http://hdl.handle.net/11459/CCR_C-142_4086aac2-674a-839a-f5bc-788c32182669,http://www.wikidata.org/entity/Q2268906
http://hdl.handle.net/11459/CCR_C-1420_745016c4-84c2-766a-a861-b4cdb6dcba73,http://www.wikidata.org/entity/Q3482678
http://hdl.handle.net/11459/CCR_C-1421_ea34af08-3d35-5df6-7584-4c21aff9ec96,http://www.wikidata.org/entity/Q14169499
http://hdl.handle.net/11459/CCR_C-1422_eb7884c1-3a0c-55c1-5aa6-dde4b66e5da5,http://www.wikidata.org/entity/Q1817208
http://hdl.handle.net/11459/CCR_C-1424_dc8402e6-a042-2d8a-4740-0d6cfe5ede02,http://www.wikidata.org/entity/Q24905
http://hdl.handle.net/11459/CCR_C-1441_6b16a248-b8f6-f0c5-6cdd-2edd15243131,http://www.wikidata.org/entity/Q166764
http://hdl.handle.net/11459/CCR_C-1463_f07c7667-e90f-c10a-7239-1ecb8d804956,http://www.wikidata.org/entity/Q468801
http://hdl.handle.net/11459/CCR_C-1506_f672c5f9-c2d2-fe64-1f82-7945df1a10cd,http://www.wikidata.org/entity/Q5253026
http://hdl.handle.net/11459/CCR_C-1511_de660422-a1d2-bc63-f426-076234337234,http://www.wikidata.org/entity/Q504952
http://hdl.handle.net/11459/CCR_C-1558_015e4ddd-aff5-d9ec-ec64-e6be2c029456,http://www.wikidata.org/entity/Q1305037
http://hdl.handle.net/11459/CCR_C-1607_c4b203bf-d36b-ed36-44ab-56166c8b9881,http://www.wikidata.org/entity/Q7397
http://hdl.handle.net/11459/CCR_C-1655_0722250d-dcbf-44f6-ad8c-b178a9bff79e,http://www.wikidata.org/entity/Q281782
http://hdl.handle.net/11459/CCR_C-1662_d42aab6d-c84e-3756-09dd-9bb48eae04ed,http://www.wikidata.org/entity/Q190087
http://hdl.handle.net/11459/CCR_C-170_3bf76663-86b5-a222-1b5a-ad631e164b8b,http://www.wikidata.org/entity/Q1026899
http://hdl.handle.net/11459/CCR_C-171_faf6b94e-d56e-5f26-1c50-3681119ded9f,http://www.wikidata.org/entity/Q5421961
http://hdl.handle.net/11459/CCR_C-1837_b37f58c2-2d7e-38e2-a8cd-09460ba75f61,http://www.wikidata.org/entity/Q7187218
http://hdl.handle.net/11459/CCR_C-1840_9f4e319c-f233-6c90-9117-7270e215f039,http://www.wikidata.org/entity/Q128234
http://hdl.handle.net/11459/CCR_C-1843_a492ced1-dbba-d8d8-1d8a-71387ede8a48,http://www.wikidata.org/entity/Q473746
http://hdl.handle.net/11459/CCR_C-1845_97d455c9-2f4a-0f47-4d4a-ff60c2db2582,http://www.wikidata.org/entity/Q853614
