source_Id,toDo_20260202,status_20260202-latest-round,wikidata_uri,mapping_provenance,possible_mapping_to_check_again,source_prefLabel,source_definition,source_isocat_id,source_is_used_concept,source_is_facet_VLO_xml,source_seems_to_be_property,source_extractedSourceFromDefinition,source_changeNote,source_instance_of,source_notation,http://www.w3.org/2004/02/skos/core#altLabel,http://openskos.org/xmlns#status,http://www.w3.org/2004/02/skos/core#inScheme,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#topConceptOf,http://www.w3.org/2004/02/skos/core#changeNote,http://www.w3.org/2004/02/skos/core#notation,http://openskos.org/xmlns#inSkosCollection,http://www.w3.org/2004/02/skos/core#definition,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/2004/02/skos/core#example,http://www.w3.org/2004/02/skos/core#scopeNote,http://www.w3.org/2004/02/skos/core#note,http://www.w3.org/2004/02/skos/core#hasTopConcept,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2004/02/skos/core#member,http://www.w3.org/2004/02/skos/core#hiddenLabel,http://purl.org/dc/terms/modified,http://purl.org/dc/terms/dateSubmitted,http://purl.org/dc/terms/creator
http://hdl.handle.net/11459/CCR_C-1260_db2a41b3-6261-de95-16c5-fbbfbfa72930,"nothing, it has an accepted mapping",nothing to do,http://www.wikidata.org/entity/Q36484,isocatId-matches,,conjunction,"Word that syntactically links words or constituents, and expresses a semantic relationship between them. (source: www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsAConjunction.htm)",1260,n,null,y,www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsAConjunction.htm,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1260,0,conjunctionSem,conjunction,candidate,http://hdl.handle.net/11459/CCR_P-Morphosyntax_f701a84e-9171-1e2d-22cf-6528c2571d42,http://www.w3.org/2004/02/skos/core#Concept,http://hdl.handle.net/11459/CCR_P-Morphosyntax_f701a84e-9171-1e2d-22cf-6528c2571d42,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1260,conjunctionSem,"http://hdl.handle.net/11459/CCR__84fcb7e0-75cd-fbc0-5bf7-8c292a2bfa83 , http://hdl.handle.net/11459/CCR__7a2ac191-441c-617b-be46-1e967df6ac06","Word that syntactically links words or constituents, and expresses a semantic relationship between them. (source: www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsAConjunction.htm)@en",conjunction@en,"In English : Coordinating conjunctions : and, or, but Subordinating conjunctions : because , when, unless@en",null,null,null,null,null,null,null,null,null
http://hdl.handle.net/11459/CCR_C-1262_64a7cd7c-4e1e-ac0a-0ee0-ac1541f27aea,"nothing, it has an accepted mapping",nothing to do,http://www.wikidata.org/entity/Q28833099,isocatId-matches,,coordinating conjunction,Conjunction that links constituents. (source: www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsACoordinatingConjunction.htm),1262,n,null,y,www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsACoordinatingConjunction.htm,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1262,0,coordinatingConjunction,coordinatingConjunction,candidate,http://hdl.handle.net/11459/CCR_P-Morphosyntax_f701a84e-9171-1e2d-22cf-6528c2571d42,http://www.w3.org/2004/02/skos/core#Concept,http://hdl.handle.net/11459/CCR_P-Morphosyntax_f701a84e-9171-1e2d-22cf-6528c2571d42,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1262,coordinatingConjunction,http://hdl.handle.net/11459/CCR__07f76247-a52e-2a10-2331-f103c1e41f5a,Conjunction that links constituents. (source: www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsACoordinatingConjunction.htm)@en,coordinating conjunction@en,null,null,null,null,null,null,null,null,null,null
http://hdl.handle.net/11459/CCR_C-1269_cfde4f66-08bb-dfeb-1a5f-64974dc27822,"nothing, it has an accepted mapping",nothing to do,http://www.wikidata.org/entity/Q10265745,isocatId-matches,,demonstrative determiner,Determiner used to point to an entity in the situation or elsewhere in a sentence. (source: Crystal 2003),1269,n,null,y,Crystal 2003,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1269,0,demonstrativeDeterminer,"demonstrative adjective@en, demonstrativeDeterminer",candidate,http://hdl.handle.net/11459/CCR_P-Morphosyntax_f701a84e-9171-1e2d-22cf-6528c2571d42,http://www.w3.org/2004/02/skos/core#Concept,http://hdl.handle.net/11459/CCR_P-Morphosyntax_f701a84e-9171-1e2d-22cf-6528c2571d42,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1269,demonstrativeDeterminer,http://hdl.handle.net/11459/CCR__07f76247-a52e-2a10-2331-f103c1e41f5a,Determiner used to point to an entity in the situation or elsewhere in a sentence. (source: Crystal 2003)@en,demonstrative determiner@en,null,null,null,null,null,null,null,null,null,null
http://hdl.handle.net/11459/CCR_C-1270_bfb2e942-c2a8-1035-cde9-b8ada8c9aa70,"nothing, it has an accepted mapping",nothing to do,http://www.wikidata.org/entity/Q34793275,isocatId-matches,,demonstrative pronoun,Pronoun used to point to an entity in the situation or elsewhere in a sentence. (source: Crystal 2003),1270,n,null,y,Crystal 2003,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1270,0,demonstrativePronoun,demonstrativePronoun,candidate,http://hdl.handle.net/11459/CCR_P-Morphosyntax_f701a84e-9171-1e2d-22cf-6528c2571d42,http://www.w3.org/2004/02/skos/core#Concept,http://hdl.handle.net/11459/CCR_P-Morphosyntax_f701a84e-9171-1e2d-22cf-6528c2571d42,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1270,demonstrativePronoun,"http://hdl.handle.net/11459/CCR__7a2ac191-441c-617b-be46-1e967df6ac06 , http://hdl.handle.net/11459/CCR__07f76247-a52e-2a10-2331-f103c1e41f5a",Pronoun used to point to an entity in the situation or elsewhere in a sentence. (source: Crystal 2003)@en,demonstrative pronoun@en,null,null,null,null,null,null,null,null,null,null
http://hdl.handle.net/11459/CCR_C-1272_64aed825-9c74-aafb-f47d-bf883170be66,"nothing, it has an accepted mapping",nothing to do,http://www.wikidata.org/entity/Q576271,isocatId-matches,,determiner,"Word or affix that belongs to a class of noun modifiers that expresses the reference, including quantity, of a noun. (source: www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsADeterminer.htm)",1272,n,null,y,www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsADeterminer.htm,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1272,0,determinerBroad,determiner,candidate,http://hdl.handle.net/11459/CCR_P-Morphosyntax_f701a84e-9171-1e2d-22cf-6528c2571d42,http://www.w3.org/2004/02/skos/core#Concept,http://hdl.handle.net/11459/CCR_P-Morphosyntax_f701a84e-9171-1e2d-22cf-6528c2571d42,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1272,determinerBroad,http://hdl.handle.net/11459/CCR__07f76247-a52e-2a10-2331-f103c1e41f5a,"Word or affix that belongs to a class of noun modifiers that expresses the reference, including quantity, of a noun. (source: www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsADeterminer.htm)@en",determiner@en,All these houses (source: www.atilf.fr DERIVATION GRAMM. 2.b)@en,null,null,null,null,null,null,null,null,null
http://hdl.handle.net/11459/CCR_C-1274_2d458147-53dc-9010-d77b-3a3d6a0aeb49,"nothing, it has an accepted mapping",nothing to do,http://www.wikidata.org/entity/Q2990574,isocatId-matches,,direct object,"A noun, pronoun, or noun phrase whose referent receives the direct action of a verb. (source: www.wordreference.com/English/definition.asp?en=direct+object)",1274,n,null,y,www.wordreference.com/English/definition.asp?en=direct+object,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1274,0,directObject,"direct object, directObject",candidate,http://hdl.handle.net/11459/CCR_P-Syntax_e7dbb854-a006-9939-4863-1236a4062a1b,http://www.w3.org/2004/02/skos/core#Concept,http://hdl.handle.net/11459/CCR_P-Syntax_e7dbb854-a006-9939-4863-1236a4062a1b,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1274,directObject,"http://hdl.handle.net/11459/CCR__07f76247-a52e-2a10-2331-f103c1e41f5a , http://hdl.handle.net/11459/CCR__84fcb7e0-75cd-fbc0-5bf7-8c292a2bfa83 , http://hdl.handle.net/11459/CCR__9a1e0dfa-fca3-45f4-43b5-775f5d910408","A noun, pronoun, or noun phrase whose referent receives the direct action of a verb. (source: www.wordreference.com/English/definition.asp?en=direct+object)@en",direct object@en,A book is the direct object in the sentence ' They bought Anne a book'. (source: csli-publications.stanford.edu/LFG/4/lee/lfg99-lee.html)@en,"A direct object is a grammatical relation that exhibits a combination of certain independent syntactic properties, such as the following: - The usual grammatical characteristics of the patient of typically transitive verbs - A particular case marking - A particular clause position - The conditioning of an agreement affix on the verb - The capability of becoming the clause subject in passivization - The capability of reflexivization (source: www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsADirectObject.htm)@en",null,null,null,null,null,null,null,null
http://hdl.handle.net/11459/CCR_C-1283_0aa9f107-03b8-8543-6b6a-23e31d4f63f2,"nothing, it's a non-used concept",nothing to do,,,,expletive,"Word which serves no grammatical function, but which fills up a sentence or gives emphasis. (source: www.southwestern.edu/~carlg/Latin_Web/glossary.html)",1283,n,null,y,www.southwestern.edu/~carlg/Latin_Web/glossary.html,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1283,0,expletiveFillerOrEmphasis,expletive,candidate,http://hdl.handle.net/11459/CCR_P-Morphosyntax_f701a84e-9171-1e2d-22cf-6528c2571d42,http://www.w3.org/2004/02/skos/core#Concept,http://hdl.handle.net/11459/CCR_P-Morphosyntax_f701a84e-9171-1e2d-22cf-6528c2571d42,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1283,expletiveFillerOrEmphasis,http://hdl.handle.net/11459/CCR__4dfef89b-a890-5e37-b60f-98159fcd8a2f,"Word which serves no grammatical function, but which fills up a sentence or gives emphasis. (source: www.southwestern.edu/~carlg/Latin_Web/glossary.html)@en",expletive@en,null,null,null,null,null,null,null,null,null,null
http://hdl.handle.net/11459/CCR_C-1286_6bf93a88-ee71-1487-5de5-d7ca9c1f4397,"nothing, it has an accepted mapping",nothing to do,http://www.wikidata.org/entity/Q177691,isocatId-matches,,tense,Property referring to the way the grammar marks the time at which the action denoted by the verb took place. (source: Crystal 2003),1286,n,null,y,Crystal 2003,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1286,0,grammaticalTense,grammaticalTense,candidate,http://hdl.handle.net/11459/CCR_P-Morphosyntax_f701a84e-9171-1e2d-22cf-6528c2571d42,http://www.w3.org/2004/02/skos/core#Concept,http://hdl.handle.net/11459/CCR_P-Morphosyntax_f701a84e-9171-1e2d-22cf-6528c2571d42,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1286,grammaticalTense,"http://hdl.handle.net/11459/CCR__48c55901-f625-6c74-a8a8-31d3bd28f658 , http://hdl.handle.net/11459/CCR__7a2ac191-441c-617b-be46-1e967df6ac06",Property referring to the way the grammar marks the time at which the action denoted by the verb took place. (source: Crystal 2003)@en,tense@en,null,null,null,null,null,null,null,null,null,null
http://hdl.handle.net/11459/CCR_C-1287_be262872-1b63-a3f7-4edf-fdfb35a1a446,"nothing, it's a non-used concept",nothing to do,,,,finite,Property applied to a verb form that can occur on its own in an independent sentence. (source: Crystal 2003),1287,n,null,y,Crystal 2003,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1287,0,finite,finite,candidate,http://hdl.handle.net/11459/CCR_P-Morphosyntax_f701a84e-9171-1e2d-22cf-6528c2571d42,http://www.w3.org/2004/02/skos/core#Concept,http://hdl.handle.net/11459/CCR_P-Morphosyntax_f701a84e-9171-1e2d-22cf-6528c2571d42,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1287,finite,http://hdl.handle.net/11459/CCR__4dfef89b-a890-5e37-b60f-98159fcd8a2f,Property applied to a verb form that can occur on its own in an independent sentence. (source: Crystal 2003)@en,finite@en,null,null,null,null,null,null,null,null,null,null
http://hdl.handle.net/11459/CCR_C-1288_61cc5804-ed04-b31a-d550-7fe84a188345,"nothing, it has an accepted mapping",nothing to do,http://www.wikidata.org/entity/Q21714344,isocatId-matches,,first person,"First person deixis is deictic reference that refers to the speaker, or both the speaker and referents grouped with the speaker (source: www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsFirstPersonDeixis.htm)",1288,n,null,y,www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsFirstPersonDeixis.htm,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1288,0,firstPersonDeixis,firstPerson,candidate,http://hdl.handle.net/11459/CCR_P-Morphosyntax_f701a84e-9171-1e2d-22cf-6528c2571d42,http://www.w3.org/2004/02/skos/core#Concept,http://hdl.handle.net/11459/CCR_P-Morphosyntax_f701a84e-9171-1e2d-22cf-6528c2571d42,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1288,firstPersonDeixis,http://hdl.handle.net/11459/CCR__7a2ac191-441c-617b-be46-1e967df6ac06,"First person deixis is deictic reference that refers to the speaker, or both the speaker and referents grouped with the speaker (source: www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsFirstPersonDeixis.htm)@en",first person@en,"The following singular pronouns: - I - me - myself - my - mine The following plural pronouns: - we - us - ourselves - our - ours Am, the first person form of the verb be (source: www.wordreference.com/English/definition.asp?en=finite ->4)@en",null,null,null,null,null,null,null,null,null
